company_symbol,Date,Open,High,Low,Close,Volume
HD,2022-01-28,360.17,366.72,352.84,366.54,4551300
HD,2022-01-31,364.81,367.41,362.21,366.98,4084600
HD,2022-02-01,369.47,370.69,362.37,368.7,3406800
HD,2022-02-02,368.38,374.67,367.76,373.73,3839300
HD,2022-02-03,370.19,372.12,363.2,364.81,4009700
HD,2022-02-04,363.5,364.67,354.25,359.67,3728100
HD,2022-02-07,360.26,361.8,355.44,357.35,2809300
HD,2022-02-08,357.35,362.98,354.8,361.44,3225100
HD,2022-02-09,365.31,367.46,363.0,364.37,2777500
HD,2022-02-10,358.84,363.0,352.87,355.09,4291800
HD,2022-02-11,354.69,357.34,348.56,350.29,3308700
HD,2022-02-14,348.0,352.91,346.83,351.56,3654300
HD,2022-02-15,355.56,357.42,351.38,353.26,3552500
HD,2022-02-16,351.5,352.86,345.72,350.09,3594900
HD,2022-02-17,348.99,352.31,347.39,347.94,3927000
HD,2022-02-18,348.39,350.6,344.1,346.87,5526100
HD,2022-02-22,335.09,336.69,312.35,316.17,19752800
HD,2022-02-23,319.32,320.4,307.1,308.45,11026000
HD,2022-02-24,300.0,313.44,299.29,313.24,8416700
HD,2022-02-25,313.18,317.44,307.57,316.65,6510600
HD,2022-02-28,312.97,316.08,310.48,315.83,5735100
HD,2022-03-01,314.59,322.43,313.76,320.25,5640900
HD,2022-03-02,321.06,331.19,319.68,327.37,5645600
HD,2022-03-03,329.19,330.68,322.83,324.36,3858400
HD,2022-03-04,322.21,326.66,319.51,324.26,3630900
HD,2022-03-07,324.26,329.6,320.11,322.77,4670000
HD,2022-03-08,319.75,328.49,315.95,316.74,5092500
HD,2022-03-09,320.0,322.46,316.92,317.2,4443600
HD,2022-03-10,314.36,318.26,308.75,317.94,3895200
HD,2022-03-11,319.28,321.79,316.23,316.79,2973300
HD,2022-03-14,322.91,324.0,316.21,318.36,3604200
HD,2022-03-15,320.35,330.18,320.33,328.54,3775300
HD,2022-03-16,331.58,333.95,324.23,330.91,3942400
HD,2022-03-17,329.14,336.36,327.84,336.36,3123200
HD,2022-03-18,333.63,340.74,332.31,340.74,9409600
HD,2022-03-21,338.04,340.69,327.08,329.37,4521200
HD,2022-03-22,329.32,331.3,324.01,329.73,4852800
HD,2022-03-23,326.9,328.19,315.85,317.05,5207700
HD,2022-03-24,317.15,319.4,314.3,315.78,4599900
HD,2022-03-25,318.48,318.8,308.3,310.68,5176500
HD,2022-03-28,311.0,314.35,309.23,314.28,3936600
HD,2022-03-29,316.91,321.0,312.92,317.71,5306100
HD,2022-03-30,313.11,315.24,306.1,308.46,7223800
HD,2022-03-31,306.21,307.96,298.89,299.33,11044600
HD,2022-04-01,300.5,303.37,298.9,301.89,5554600
HD,2022-04-04,301.49,306.48,299.57,305.58,4659500
HD,2022-04-05,306.26,309.1,302.21,304.86,4376100
HD,2022-04-06,298.09,300.66,294.99,298.54,6499900
HD,2022-04-07,296.79,304.59,293.59,302.75,5241000
HD,2022-04-08,301.46,312.29,301.28,311.11,5741900
HD,2022-04-11,307.81,314.17,305.93,306.72,4100600
HD,2022-04-12,309.44,313.29,305.1,306.29,4122600
HD,2022-04-13,306.11,311.7,305.72,310.42,3185300
HD,2022-04-14,310.83,312.25,304.33,304.52,4569200
HD,2022-04-18,303.0,306.29,298.72,300.21,3192400
HD,2022-04-19,300.61,308.13,299.81,307.8,3389700
HD,2022-04-20,311.0,316.1,309.75,315.14,4720800
HD,2022-04-21,317.0,318.4,309.74,310.36,3014200
HD,2022-04-22,309.82,309.82,299.78,300.11,4043200
HD,2022-04-25,300.0,305.16,296.27,304.94,4396900
HD,2022-04-26,302.25,307.56,299.72,299.96,3415200
HD,2022-04-27,301.3,306.42,299.12,301.6,3446200
HD,2022-04-28,304.75,314.54,303.01,311.76,4149500
HD,2022-04-29,308.15,311.72,299.71,300.4,4878200
HD,2022-05-02,301.99,308.79,299.91,306.97,4233900
HD,2022-05-03,305.69,309.0,303.02,304.96,3336600
HD,2022-05-04,304.08,315.75,302.93,315.31,4021300
HD,2022-05-05,311.0,311.36,293.71,299.11,4959600
HD,2022-05-06,296.3,296.75,289.41,294.31,4325300
HD,2022-05-09,290.28,300.74,288.5,297.03,5243600
HD,2022-05-10,298.46,301.07,287.66,291.16,4392900
